period,period_window,road_class,lanes,base_speed_kmh,base_time_multiplier,alpha,beta,capacity_per_lane_vph,signal_density_per_km,stop_delay_sec_per_signal,period_delay_multiplier,notes
AM_PEAK,07:00-09:59,Nat,1,50,1.0,0.12,4.0,1800,0.6,30,1.2,
MIDDAY,10:00-16:59,Nat,1,50,1.0,0.12,4.0,1800,0.6,30,1.0,
PM_PEAK,17:00-19:59,Nat,1,50,1.0,0.12,4.0,1800,0.6,30,1.25,
NIGHT,20:00-06:59,Nat,1,50,1.0,0.12,4.0,1800,0.6,30,0.7,
AM_PEAK,07:00-09:59,Nat,2,50,1.0,0.12,4.0,1800,0.6,30,1.2,
MIDDAY,10:00-16:59,Nat,2,50,1.0,0.12,4.0,1800,0.6,30,1.0,
PM_PEAK,17:00-19:59,Nat,2,50,1.0,0.12,4.0,1800,0.6,30,1.25,
NIGHT,20:00-06:59,Nat,2,50,1.0,0.12,4.0,1800,0.6,30,0.7,
AM_PEAK,07:00-09:59,Nat,3,50,1.0,0.12,4.0,1800,0.6,30,1.2,
MIDDAY,10:00-16:59,Nat,3,50,1.0,0.12,4.0,1800,0.6,30,1.0,
PM_PEAK,17:00-19:59,Nat,3,50,1.0,0.12,4.0,1800,0.6,30,1.25,
NIGHT,20:00-06:59,Nat,3,50,1.0,0.12,4.0,1800,0.6,30,0.7,
AM_PEAK,07:00-09:59,Nat,4,50,1.0,0.12,4.0,1800,0.6,30,1.2,
MIDDAY,10:00-16:59,Nat,4,50,1.0,0.12,4.0,1800,0.6,30,1.0,
PM_PEAK,17:00-19:59,Nat,4,50,1.0,0.12,4.0,1800,0.6,30,1.25,
NIGHT,20:00-06:59,Nat,4,50,1.0,0.12,4.0,1800,0.6,30,0.7,
AM_PEAK,07:00-09:59,Pref,1,45,1.05,0.15,4.0,1600,0.8,30,1.2,
MIDDAY,10:00-16:59,Pref,1,45,1.05,0.15,4.0,1600,0.8,30,1.0,
PM_PEAK,17:00-19:59,Pref,1,45,1.05,0.15,4.0,1600,0.8,30,1.25,
NIGHT,20:00-06:59,Pref,1,45,1.05,0.15,4.0,1600,0.8,30,0.7,
AM_PEAK,07:00-09:59,Pref,2,45,1.05,0.15,4.0,1600,0.8,30,1.2,
MIDDAY,10:00-16:59,Pref,2,45,1.05,0.15,4.0,1600,0.8,30,1.0,
PM_PEAK,17:00-19:59,Pref,2,45,1.05,0.15,4.0,1600,0.8,30,1.25,
NIGHT,20:00-06:59,Pref,2,45,1.05,0.15,4.0,1600,0.8,30,0.7,
AM_PEAK,07:00-09:59,Pref,3,45,1.05,0.15,4.0,1600,0.8,30,1.2,
MIDDAY,10:00-16:59,Pref,3,45,1.05,0.15,4.0,1600,0.8,30,1.0,
PM_PEAK,17:00-19:59,Pref,3,45,1.05,0.15,4.0,1600,0.8,30,1.25,
NIGHT,20:00-06:59,Pref,3,45,1.05,0.15,4.0,1600,0.8,30,0.7,
AM_PEAK,07:00-09:59,Pref,4,45,1.05,0.15,4.0,1600,0.8,30,1.2,
MIDDAY,10:00-16:59,Pref,4,45,1.05,0.15,4.0,1600,0.8,30,1.0,
PM_PEAK,17:00-19:59,Pref,4,45,1.05,0.15,4.0,1600,0.8,30,1.25,
NIGHT,20:00-06:59,Pref,4,45,1.05,0.15,4.0,1600,0.8,30,0.7,
AM_PEAK,07:00-09:59,Muni,1,40,1.1,0.18,4.0,1400,1.0,32,1.2,
MIDDAY,10:00-16:59,Muni,1,40,1.1,0.18,4.0,1400,1.0,32,1.0,
PM_PEAK,17:00-19:59,Muni,1,40,1.1,0.18,4.0,1400,1.0,32,1.25,
NIGHT,20:00-06:59,Muni,1,40,1.1,0.18,4.0,1400,1.0,32,0.7,
AM_PEAK,07:00-09:59,Muni,2,40,1.1,0.18,4.0,1400,1.0,32,1.2,
MIDDAY,10:00-16:59,Muni,2,40,1.1,0.18,4.0,1400,1.0,32,1.0,
PM_PEAK,17:00-19:59,Muni,2,40,1.1,0.18,4.0,1400,1.0,32,1.25,
NIGHT,20:00-06:59,Muni,2,40,1.1,0.18,4.0,1400,1.0,32,0.7,
AM_PEAK,07:00-09:59,Muni,3,40,1.1,0.18,4.0,1400,1.0,32,1.2,
MIDDAY,10:00-16:59,Muni,3,40,1.1,0.18,4.0,1400,1.0,32,1.0,
PM_PEAK,17:00-19:59,Muni,3,40,1.1,0.18,4.0,1400,1.0,32,1.25,
NIGHT,20:00-06:59,Muni,3,40,1.1,0.18,4.0,1400,1.0,32,0.7,
AM_PEAK,07:00-09:59,Muni,4,40,1.1,0.18,4.0,1400,1.0,32,1.2,
MIDDAY,10:00-16:59,Muni,4,40,1.1,0.18,4.0,1400,1.0,32,1.0,
PM_PEAK,17:00-19:59,Muni,4,40,1.1,0.18,4.0,1400,1.0,32,1.25,
NIGHT,20:00-06:59,Muni,4,40,1.1,0.18,4.0,1400,1.0,32,0.7,
AM_PEAK,07:00-09:59,Other,1,30,1.2,0.22,4.0,1200,1.2,35,1.2,
MIDDAY,10:00-16:59,Other,1,30,1.2,0.22,4.0,1200,1.2,35,1.0,
PM_PEAK,17:00-19:59,Other,1,30,1.2,0.22,4.0,1200,1.2,35,1.25,
NIGHT,20:00-06:59,Other,1,30,1.2,0.22,4.0,1200,1.2,35,0.7,
AM_PEAK,07:00-09:59,Other,2,30,1.2,0.22,4.0,1200,1.2,35,1.2,
MIDDAY,10:00-16:59,Other,2,30,1.2,0.22,4.0,1200,1.2,35,1.0,
PM_PEAK,17:00-19:59,Other,2,30,1.2,0.22,4.0,1200,1.2,35,1.25,
NIGHT,20:00-06:59,Other,2,30,1.2,0.22,4.0,1200,1.2,35,0.7,
AM_PEAK,07:00-09:59,Other,3,30,1.2,0.22,4.0,1200,1.2,35,1.2,
MIDDAY,10:00-16:59,Other,3,30,1.2,0.22,4.0,1200,1.2,35,1.0,
PM_PEAK,17:00-19:59,Other,3,30,1.2,0.22,4.0,1200,1.2,35,1.25,
NIGHT,20:00-06:59,Other,3,30,1.2,0.22,4.0,1200,1.2,35,0.7,
AM_PEAK,07:00-09:59,Other,4,30,1.2,0.22,4.0,1200,1.2,35,1.2,
MIDDAY,10:00-16:59,Other,4,30,1.2,0.22,4.0,1200,1.2,35,1.0,
PM_PEAK,17:00-19:59,Other,4,30,1.2,0.22,4.0,1200,1.2,35,1.25,
NIGHT,20:00-06:59,Other,4,30,1.2,0.22,4.0,1200,1.2,35,0.7,
