zone_id,side,centroid_id,juusin_kansen,juusin_sidou,bside_kansen_present,bside_sidou_present
513243661,W,513243661_C,4849,4859,1,0
513243662,N,513243662_C,5115,4869,1,1
513243662,E,513243662_C,5115,4869,1,0
513243662,S,513243662_C,5115,4869,1,1
513243662,W,513243662_C,5115,4869,1,0
513243663,N,513243663_C,5007,4956,1,1
513243663,E,513243663_C,5007,4956,1,0
513243663,S,513243663_C,5007,4956,1,0
513243663,W,513243663_C,5007,4956,1,0
513243664,N,513243664_C,5193,4986,1,1
513243664,E,513243664_C,5193,4986,1,0
513243664,S,513243664_C,5193,4986,1,1
513243664,W,513243664_C,5193,4986,1,0
513243671,N,513243671_C,tran_d1985c3b-2e3d-46f9-ae5c-3037828b5ce2,tran_19ea7f54-c5e1-4483-a53a-278c16d62bf8,1,0
513243671,E,513243671_C,tran_d1985c3b-2e3d-46f9-ae5c-3037828b5ce2,tran_19ea7f54-c5e1-4483-a53a-278c16d62bf8,1,0
513243671,S,513243671_C,tran_d1985c3b-2e3d-46f9-ae5c-3037828b5ce2,tran_19ea7f54-c5e1-4483-a53a-278c16d62bf8,1,1
513243671,W,513243671_C,tran_d1985c3b-2e3d-46f9-ae5c-3037828b5ce2,tran_19ea7f54-c5e1-4483-a53a-278c16d62bf8,1,0
513243672,N,513243672_C,tran_b249ef4d-7a53-4c04-9441-415dd3d23d39,tran_6cf6c6f8-433d-4ed9-a6f1-a657cb3ec644,1,0
513243672,E,513243672_C,tran_b249ef4d-7a53-4c04-9441-415dd3d23d39,tran_6cf6c6f8-433d-4ed9-a6f1-a657cb3ec644,1,0
513243672,S,513243672_C,tran_b249ef4d-7a53-4c04-9441-415dd3d23d39,tran_6cf6c6f8-433d-4ed9-a6f1-a657cb3ec644,1,0
513243672,W,513243672_C,tran_b249ef4d-7a53-4c04-9441-415dd3d23d39,tran_6cf6c6f8-433d-4ed9-a6f1-a657cb3ec644,1,0
513243673,N,513243673_C,tran_210f17ab-bc82-4e68-98da-70ea2d590b45,tran_6ba038e1-3d9f-497b-ac0a-24078c9b263b,1,0
513243673,E,513243673_C,tran_210f17ab-bc82-4e68-98da-70ea2d590b45,tran_6ba038e1-3d9f-497b-ac0a-24078c9b263b,1,0
513243673,S,513243673_C,tran_210f17ab-bc82-4e68-98da-70ea2d590b45,tran_6ba038e1-3d9f-497b-ac0a-24078c9b263b,1,0
513243673,W,513243673_C,tran_210f17ab-bc82-4e68-98da-70ea2d590b45,tran_6ba038e1-3d9f-497b-ac0a-24078c9b263b,1,0
513243674,N,513243674_C,tran_e7419217-7656-4705-912d-6ffea07088aa,tran_2b51662f-c5ed-4a62-85d2-0a5443e73b56,1,1
513243674,E,513243674_C,tran_e7419217-7656-4705-912d-6ffea07088aa,tran_2b51662f-c5ed-4a62-85d2-0a5443e73b56,1,1
513243674,S,513243674_C,tran_e7419217-7656-4705-912d-6ffea07088aa,tran_2b51662f-c5ed-4a62-85d2-0a5443e73b56,1,0
513243674,W,513243674_C,tran_e7419217-7656-4705-912d-6ffea07088aa,tran_2b51662f-c5ed-4a62-85d2-0a5443e73b56,1,0
513243681,N,513243681_C,3430,3427,1,1
513243681,E,513243681_C,3430,3427,1,1
513243681,S,513243681_C,3430,3427,1,1
513243681,W,513243681_C,3430,3427,1,0
513243682,N,513243682_C,3669,3449,1,1
513243682,E,513243682_C,3669,3449,1,1
513243682,S,513243682_C,3669,3449,1,1
513243682,W,513243682_C,3669,3449,1,1
513243683,N,513243683_C,4031,3797,1,1
513243683,E,513243683_C,4031,3797,1,1
513243683,S,513243683_C,4031,3797,1,1
513243683,W,513243683_C,4031,3797,1,1
513243684,N,513243684_C,3998,4061,0,1
513243684,E,513243684_C,3998,4061,1,1
513243684,S,513243684_C,3998,4061,1,1
513243684,W,513243684_C,3998,4061,1,1
513243691,N,513243691_C,3370,3674,0,0
513243691,E,513243691_C,3370,3674,0,0
513243691,S,513243691_C,3370,3674,0,1
513243691,W,513243691_C,3370,3674,1,1
513243693,N,513243693_C,3744,3822,1,0
513243693,E,513243693_C,3744,3822,0,0
513243693,S,513243693_C,3744,3822,0,0
513243693,W,513243693_C,3744,3822,1,1
513243732,N,513243732_C,9896,5431,0,0
513243732,E,513243732_C,9896,5431,0,1
513243732,S,513243732_C,9896,5431,1,0
513243732,W,513243732_C,9896,5431,0,0
513243734,N,513243734_C,5561,5973,0,0
513243734,E,513243734_C,5561,5973,1,1
513243734,S,513243734_C,5561,5973,0,0
513243734,W,513243734_C,5561,5973,0,0
513243741,N,513243741_C,6094,6095,1,1
513243741,E,513243741_C,6094,6095,1,1
513243741,S,513243741_C,6094,6095,1,1
513243741,W,513243741_C,6094,6095,0,1
513243742,N,513243742_C,5371,5931,1,1
513243742,E,513243742_C,5371,5931,1,1
513243742,S,513243742_C,5371,5931,1,1
513243742,W,513243742_C,5371,5931,1,1
513243743,N,513243743_C,5590,6005,1,1
513243743,E,513243743_C,5590,6005,1,1
513243743,S,513243743_C,5590,6005,1,1
513243743,W,513243743_C,5590,6005,1,1
513243744,N,513243744_C,5592,5581,1,1
513243744,E,513243744_C,5592,5581,1,1
513243744,S,513243744_C,5592,5581,1,1
513243744,W,513243744_C,5592,5581,1,1
513243751,N,513243751_C,2720,2724,1,1
513243751,E,513243751_C,2720,2724,1,1
513243751,S,513243751_C,2720,2724,1,1
513243751,W,513243751_C,2720,2724,1,1
513243752,N,513243752_C,2710,2734,1,1
513243752,E,513243752_C,2710,2734,1,1
513243752,S,513243752_C,2710,2734,1,1
513243752,W,513243752_C,2710,2734,1,1
513243753,N,513243753_C,2938,3307,1,1
513243753,E,513243753_C,2938,3307,1,1
513243753,S,513243753_C,2938,3307,1,1
513243753,W,513243753_C,2938,3307,1,1
513243754,N,513243754_C,2927,2958,1,1
513243754,E,513243754_C,2927,2958,1,1
513243754,S,513243754_C,2927,2958,1,1
513243754,W,513243754_C,2927,2958,1,1
513243761,N,513243761_C,13788,13962,1,0
513243761,E,513243761_C,13788,13962,1,1
513243761,S,513243761_C,13788,13962,1,1
513243761,W,513243761_C,13788,13962,1,1
513243762,N,513243762_C,13756,13998,1,1
513243762,E,513243762_C,13756,13998,1,1
513243762,S,513243762_C,13756,13998,1,1
513243762,W,513243762_C,13756,13998,1,1
513243763,N,513243763_C,13855,13944,1,1
513243763,E,513243763_C,13855,13944,1,0
513243763,S,513243763_C,13855,13944,1,0
513243763,W,513243763_C,13855,13944,1,1
513243764,N,513243764_C,13850,13926,1,0
513243764,E,513243764_C,13850,13926,1,0
513243764,S,513243764_C,13850,13926,1,1
513243764,W,513243764_C,13850,13926,1,0
513243771,N,513243771_C,16852,17010,1,1
513243771,E,513243771_C,16852,17010,1,1
513243771,S,513243771_C,16852,17010,1,0
513243771,W,513243771_C,16852,17010,1,1
513243772,N,513243772_C,16739,16959,1,1
513243772,E,513243772_C,16739,16959,1,1
513243772,S,513243772_C,16739,16959,1,1
513243772,W,513243772_C,16739,16959,1,1
513243773,N,513243773_C,16914,16907,1,0
513243773,E,513243773_C,16914,16907,1,0
513243773,S,513243773_C,16914,16907,1,1
513243773,W,513243773_C,16914,16907,1,0
513243774,N,513243774_C,16732,16841,1,1
513243774,E,513243774_C,16732,16841,1,0
513243774,S,513243774_C,16732,16841,1,1
513243774,W,513243774_C,16732,16841,1,0
513243781,N,513243781_C,4038,3680,0,0
513243781,E,513243781_C,4038,3680,0,1
513243781,S,513243781_C,4038,3680,1,1
513243781,W,513243781_C,4038,3680,1,1
513243782,N,513243782_C,0,3825,0,0
513243782,E,513243782_C,0,3825,0,0
513243782,S,513243782_C,0,3825,0,1
513243782,W,513243782_C,0,3825,0,0
513243783,N,513243783_C,4670,4660,1,1
513243783,E,513243783_C,4670,4660,0,0
513243783,S,513243783_C,4670,4660,0,0
513243783,W,513243783_C,4670,4660,1,0
513243784,N,513243784_C,4557,4700,1,1
513243784,E,513243784_C,4557,4700,0,0
513243784,S,513243784_C,4557,4700,0,0
513243784,W,513243784_C,4557,4700,0,0
513243791,N,513243791_C,3741,0,0,0
513243791,E,513243791_C,3741,0,0,0
513243791,S,513243791_C,3741,0,1,0
513243791,W,513243791_C,3741,0,0,0
513243832,N,513243832_C,12409,12852,0,0
513243832,E,513243832_C,12409,12852,1,1
513243832,S,513243832_C,12409,12852,0,0
513243832,W,513243832_C,12409,12852,0,0
513243834,N,513243834_C,0,12554,0,0
513243834,E,513243834_C,0,12554,0,1
513243834,S,513243834_C,0,12554,0,0
513243834,W,513243834_C,0,12554,0,0
513243841,N,513243841_C,12468,12891,1,1
513243841,E,513243841_C,12468,12891,1,1
513243841,S,513243841_C,12468,12891,1,1
513243841,W,513243841_C,12468,12891,1,1
513243842,N,513243842_C,12639,12450,1,1
513243842,E,513243842_C,12639,12450,1,1
513243842,S,513243842_C,12639,12450,1,1
513243842,W,513243842_C,12639,12450,1,1
513243843,N,513243843_C,12586,12668,0,0
513243843,E,513243843_C,12586,12668,1,0
513243843,S,513243843_C,12586,12668,1,1
513243843,W,513243843_C,12586,12668,0,1
513243844,N,513243844_C,12581,12808,1,1
513243844,E,513243844_C,12581,12808,1,1
513243844,S,513243844_C,12581,12808,1,1
513243844,W,513243844_C,12581,12808,1,0
513243851,N,513243851_C,3047,3052,0,0
513243851,E,513243851_C,3047,3052,1,0
513243851,S,513243851_C,3047,3052,1,1
513243851,W,513243851_C,3047,3052,1,1
513243852,N,513243852_C,3192,3051,0,0
513243852,E,513243852_C,3192,3051,0,1
513243852,S,513243852_C,3192,3051,1,1
513243852,W,513243852_C,3192,3051,1,0
513243853,N,513243853_C,12701,14054,0,1
513243853,E,513243853_C,12701,14054,0,0
513243853,S,513243853_C,12701,14054,1,0
513243853,W,513243853_C,12701,14054,1,1
513243854,N,513243854_C,4205,14457,1,1
513243854,E,513243854_C,4205,14457,1,1
513243854,S,513243854_C,4205,14457,0,0
513243854,W,513243854_C,4205,14457,0,0
513243861,N,513243861_C,4159,4306,1,0
513243861,E,513243861_C,4159,4306,1,0
513243861,S,513243861_C,4159,4306,1,1
513243861,W,513243861_C,4159,4306,0,1
513243862,N,513243862_C,4386,4173,1,1
513243862,E,513243862_C,4386,4173,1,0
513243862,S,513243862_C,4386,4173,1,0
513243862,W,513243862_C,4386,4173,1,0
513243863,N,513243863_C,4295,4219,1,1
513243863,E,513243863_C,4295,4219,1,0
513243863,S,513243863_C,4295,4219,1,0
513243863,W,513243863_C,4295,4219,1,1
513243864,N,513243864_C,4366,4203,1,1
513243864,E,513243864_C,4366,4203,1,1
513243864,S,513243864_C,4366,4203,1,1
513243864,W,513243864_C,4366,4203,1,0
513243871,N,513243871_C,12252,12400,1,0
513243871,E,513243871_C,12252,12400,1,1
513243871,S,513243871_C,12252,12400,1,0
513243871,W,513243871_C,12252,12400,1,0
513243872,N,513243872_C,12317,12246,1,1
513243872,E,513243872_C,12317,12246,1,1
513243872,S,513243872_C,12317,12246,1,1
513243872,W,513243872_C,12317,12246,1,1
513243873,N,513243873_C,12111,12112,1,1
513243873,E,513243873_C,12111,12112,1,0
513243873,S,513243873_C,12111,12112,1,0
513243873,W,513243873_C,12111,12112,1,1
513243874,N,513243874_C,11884,12176,1,1
513243874,E,513243874_C,11884,12176,1,1
513243874,S,513243874_C,11884,12176,1,1
513243874,W,513243874_C,11884,12176,1,0
513243881,N,513243881_C,4556,4778,1,1
513243881,E,513243881_C,4556,4778,1,1
513243881,S,513243881_C,4556,4778,1,1
513243881,W,513243881_C,4556,4778,1,1
513243882,N,513243882_C,4655,4603,1,1
513243882,E,513243882_C,4655,4603,1,1
513243882,S,513243882_C,4655,4603,1,1
513243882,W,513243882_C,4655,4603,1,1
513243883,N,513243883_C,4425,4712,1,1
513243883,E,513243883_C,4425,4712,1,1
513243883,S,513243883_C,4425,4712,1,1
513243883,W,513243883_C,4425,4712,1,1
513243884,N,513243884_C,4435,4427,1,1
513243884,E,513243884_C,4435,4427,0,0
513243884,S,513243884_C,4435,4427,1,1
513243884,W,513243884_C,4435,4427,1,0
513243891,N,513243891_C,4771,4597,0,0
513243891,E,513243891_C,4771,4597,0,0
513243891,S,513243891_C,4771,4597,0,0
513243891,W,513243891_C,4771,4597,1,1
513243942,N,513243942_C,12602,12600,0,0
513243942,E,513243942_C,12602,12600,0,0
513243942,S,513243942_C,12602,12600,1,1
513243942,W,513243942_C,12602,12600,0,0
513243944,N,513243944_C,14252,14243,0,0
513243944,E,513243944_C,14252,14243,1,1
513243944,S,513243944_C,14252,14243,0,0
513243944,W,513243944_C,14252,14243,0,0
513243951,N,513243951_C,14079,14391,1,0
513243951,E,513243951_C,14079,14391,1,0
513243951,S,513243951_C,14079,14391,0,1
513243951,W,513243951_C,14079,14391,0,0
513243952,N,513243952_C,14094,14458,1,1
513243952,E,513243952_C,14094,14458,1,1
513243952,S,513243952_C,14094,14458,1,1
513243952,W,513243952_C,14094,14458,1,0
513243953,N,513243953_C,14278,14334,1,0
513243953,E,513243953_C,14278,14334,1,1
513243953,S,513243953_C,14278,14334,1,0
513243953,W,513243953_C,14278,14334,1,1
513243954,N,513243954_C,14353,14162,1,1
513243954,E,513243954_C,14353,14162,1,1
513243954,S,513243954_C,14353,14162,1,1
513243954,W,513243954_C,14353,14162,1,1
513243961,N,513243961_C,17083,17097,1,1
513243961,E,513243961_C,17083,17097,1,1
513243961,S,513243961_C,17083,17097,1,1
513243961,W,513243961_C,17083,17097,1,1
513243962,N,513243962_C,17656,17660,1,1
513243962,E,513243962_C,17656,17660,1,0
513243962,S,513243962_C,17656,17660,1,1
513243962,W,513243962_C,17656,17660,1,1
513243963,N,513243963_C,17250,17270,1,1
513243963,E,513243963_C,17250,17270,1,1
513243963,S,513243963_C,17250,17270,1,1
513243963,W,513243963_C,17250,17270,1,1
513243964,N,513243964_C,17481,17479,1,1
513243964,E,513243964_C,17481,17479,0,0
513243964,S,513243964_C,17481,17479,1,1
513243964,W,513243964_C,17481,17479,1,1
513243971,N,513243971_C,7757,7756,1,1
513243971,E,513243971_C,7757,7756,1,1
513243971,S,513243971_C,7757,7756,1,1
513243971,W,513243971_C,7757,7756,1,0
513243972,N,513243972_C,7310,7267,1,1
513243972,E,513243972_C,7310,7267,1,1
513243972,S,513243972_C,7310,7267,1,1
513243972,W,513243972_C,7310,7267,1,1
513243973,N,513243973_C,7485,7608,1,0
513243973,E,513243973_C,7485,7608,1,1
513243973,S,513243973_C,7485,7608,1,1
513243973,W,513243973_C,7485,7608,0,0
513243974,N,513243974_C,7681,7466,1,0
513243974,E,513243974_C,7681,7466,1,1
513243974,S,513243974_C,7681,7466,1,1
513243974,W,513243974_C,7681,7466,1,1
513243981,N,513243981_C,11034,11170,1,1
513243981,E,513243981_C,11034,11170,1,1
513243981,S,513243981_C,11034,11170,1,1
513243981,W,513243981_C,11034,11170,1,1
513243982,N,513243982_C,10556,11243,1,1
513243982,E,513243982_C,10556,11243,0,0
513243982,S,513243982_C,10556,11243,1,1
513243982,W,513243982_C,10556,11243,1,1
513243983,N,513243983_C,10719,10690,1,1
513243983,E,513243983_C,10719,10690,1,1
513243983,S,513243983_C,10719,10690,1,1
513243983,W,513243983_C,10719,10690,1,1
513243984,N,513243984_C,10783,10920,1,0
513243984,E,513243984_C,10783,10920,0,0
513243984,S,513243984_C,10783,10920,1,1
513243984,W,513243984_C,10783,10920,1,1
513253051,N,513253051_C,14233,0,0,0
513253051,E,513253051_C,14233,0,0,0
513253051,S,513253051_C,14233,0,1,0
513253051,W,513253051_C,14233,0,0,0
513253052,N,513253052_C,14231,14315,0,0
513253052,E,513253052_C,14231,14315,0,0
513253052,S,513253052_C,14231,14315,1,1
513253052,W,513253052_C,14231,14315,0,0
513253061,N,513253061_C,17373,17376,0,0
513253061,E,513253061_C,17373,17376,0,0
513253061,S,513253061_C,17373,17376,1,1
513253061,W,513253061_C,17373,17376,0,0
513253062,N,513253062_C,17468,17375,0,0
513253062,E,513253062_C,17468,17375,0,0
513253062,S,513253062_C,17468,17375,1,1
513253062,W,513253062_C,17468,17375,0,0
513253071,N,513253071_C,7519,0,0,0
513253071,E,513253071_C,7519,0,0,0
513253071,S,513253071_C,7519,0,1,0
513253071,W,513253071_C,7519,0,0,0
513253072,N,513253072_C,7513,0,0,0
513253072,E,513253072_C,7513,0,0,0
513253072,S,513253072_C,7513,0,1,0
513253072,W,513253072_C,7513,0,0,0
513253081,N,513253081_C,10785,10781,0,0
513253081,E,513253081_C,10785,10781,0,0
513253081,S,513253081_C,10785,10781,1,1
513253081,W,513253081_C,10785,10781,0,0
513253082,N,513253082_C,10778,0,0,0
513253082,E,513253082_C,10778,0,0,0
513253082,S,513253082_C,10778,0,1,0
513253082,W,513253082_C,10778,0,0,0
