zone_id,segments_total,count_Nat,count_Pref,count_Muni,count_Other,len_Nat_m,len_Pref_m,len_Muni_m,len_Other_m,length_total_m,score,juusinkukaku_kansen,juusinkukaku_sidouseikatudou,kyoukaikukaku_kansen_left,kyoukaikukaku_kansen_right,kyoukaikukaku_kansen_bottom,kyoukaikukaku_kansen_top,kyoukaikukaku_sidouseikatudou_left,kyoukaikukaku_sidouseikatudou_right,kyoukaikukaku_sidouseikatudou_bottom,kyoukaikukaku_sidouseikatudou_top
513243254,1,0,1,0,0,0,17.83,0,0,17.83,0,10443,,,,,10443,,,,
513243263,5,3,2,0,0,745.96,57.87,0,0,803.83,0,6293,,,,,6294,,,,
513243264,7,0,2,5,0,0,276.55,122.42,0,398.97,24.55,6115,6105,,,,6254,,,,6553
513243273,10,1,1,8,0,108.58,66.23,738.63,0,913.44,64.69,15935,16292,,,,15953,15960,,,15948
513243274,1,0,1,0,0,0,527.55,0,0,527.55,0,16291,,,,,16291,,,,
513243283,1,1,0,0,0,780.03,0,0,0,780.03,0,15107,,,,,15107,,,,
513243341,12,7,3,2,0,707.99,212.85,37.2,0,958.04,3.11,9573,9574,,9220,,9481,,,,
513243342,20,1,7,12,0,158.78,564.59,237.09,0,960.46,19.75,9195,9546,,,,9206,,,,9545
513243343,167,5,19,131,12,451.31,1249.42,3531.62,157.01,5389.36,55.34,9265,9239,,9220,9481,9348,,9302,,9340
513243344,234,22,53,121,38,1408.35,3022.75,3354.19,604.01,8389.3,39.19,9229,9542,9220,9322,9206,9339,9302,9571,9545,14510
513243351,33,11,14,8,0,1841.42,1163.39,316.36,0,3321.17,7.62,10427,10225,,10431,,10329,,10224,,
513243352,26,14,11,1,0,5551.83,834.22,103.81,0,6489.86,1.28,10226,10224,10431,581,6506,14738,10224,,,
513243353,72,19,27,25,1,5984.08,1204.79,908.08,5.54,8102.49,9.03,10330,10245,9322,10250,10329,14738,9571,,,13277
513243354,164,41,59,63,1,7647.08,2538.32,1873.2,4.08,12062.68,12.46,10422,578,13280,6252,14738,12931,,10265,,10328
513243361,76,25,24,27,0,6115.04,1017.42,1096.59,0,8229.05,10.66,6155,6452,14738,6154,6294,6393,,6521,,
513243362,187,10,55,77,45,611.52,2348.02,3263.23,1170.32,7393.09,51.14,6527,6526,6154,,6254,6205,6521,16062,6553,6228
513243363,54,12,10,32,0,649.24,260.36,1002.16,0,1911.76,41.94,6290,6308,6252,6392,6393,6285,6282,,,11308
513243364,186,17,43,78,48,1941.97,1708.71,2723.34,1192.75,7566.77,44.56,6235,6343,6393,16388,6205,11513,,6251,6228,6288
513243371,251,8,22,183,38,447.23,912.58,7537.1,1139.99,10036.9,71.43,16489,15985,,15978,15953,16111,16062,16033,15948,16106
513243372,30,11,6,8,5,820.31,665.81,474.86,262.26,2223.24,28.88,16291,16468,15978,,,16291,16033,,,
513243373,236,14,12,175,35,963.53,623.37,6536.24,719.92,8843.06,67.27,16127,16328,16388,,16111,tran_c037efc6-633a-4a68-a7fc-e3b448f83244,6228,16260,16106,
513243374,133,15,9,77,32,1311.82,1090.61,3628.11,1059.63,7090.17,55.88,16440,16140,,16383,16291,16290,16260,,15074,
513243381,6,2,0,4,0,929.25,0,515.04,0,1444.29,28.53,15107,15334,,15077,,15107,,15112,,15074
513243382,14,5,2,7,0,618.56,50.58,279.86,0,949,23.59,15391,15392,,,,15081,,,,15080
513243383,216,22,40,63,91,2466.2,1913.98,2288.46,1426.92,8095.56,40.24,15315,15269,15111,15077,15107,17729,15074,15112,,18540
513243384,119,12,19,46,42,1498.08,993.43,1399.98,583.22,4474.71,38.06,15374,15373,15077,,15081,15237,15188,15386,15080,18588
513243393,1,0,0,1,0,0,0,34.9,0,34.9,80,,15386,,,,,15386,,,
513243434,11,2,4,5,0,3418.08,448.49,176.96,0,4043.53,3.5,14699,14682,,14738,,,,14675,,
513243441,101,22,13,60,6,5907.49,714.79,1806.31,84.52,8513.11,17.97,14572,14818,,14738,9348,14733,,14556,9340,14627
513243442,276,52,39,125,60,6650.98,2091.41,4216.31,1169.32,14128.02,32.15,14864,14892,14738,14559,9339,14648,14556,14596,14510,14634
513243443,105,12,31,58,4,5363.7,2212.09,1625.18,55.94,9256.91,14.65,14728,14679,14738,14733,14739,14728,14675,,14627,6566
513243444,190,23,22,100,45,2499.78,1358.4,3212.27,839.09,7909.54,43.1,14661,14668,14733,13267,14648,7154,,13140,14634,14729
513243451,217,22,52,97,46,4868.37,2239.44,3508.45,891.86,11508.12,32.14,13278,13316,14559,13068,14738,13221,14596,13077,13277,13121
513243452,234,11,63,146,14,584.23,2935.91,4717.91,293.87,8531.92,47.68,13473,13019,13068,13393,12931,13113,13077,13080,10328,13091
513243453,192,19,26,102,45,1222.14,1389.66,3306.99,877.38,6796.17,51.84,13630,13629,13240,13215,13221,2057,13140,13293,13121,2072
513243454,261,17,33,138,73,1474.38,1409.84,5104.85,1381.86,9370.93,58.33,13164,13683,13215,13178,13113,2073,13293,13271,13099,2077
513243461,174,9,25,137,3,1364.14,800.44,2926.45,31.21,5122.24,46.32,11593,11592,13393,11513,6285,11405,13080,,11311,11526
513243462,82,10,15,49,8,1549.52,917.51,1811.64,164.26,4442.93,36.32,11638,11637,11513,tran_6da331c4-b955-452d-9142-258e7d0b8a13,11512,11778,,11392,6288,11422
513243463,138,22,35,48,33,1874.01,1751.76,1773.83,608.56,6008.16,33.75,11467,11445,13178,11466,11543,8710,13271,,11526,11508
513243464,190,23,29,69,69,1434.68,1561.9,2641.16,929.1,6566.84,46.32,11772,11475,11466,tran_090e8607-b8f1-4e30-a585-67989b3549c0,11778,15550,,11410,11422,8712
513243471,227,84,43,80,20,2758.84,1997.79,1994.27,189.87,6940.77,25.72,tran_4a4abe70-ea89-4c49-829c-7b566f6ced9a,tran_84ca2e19-87f3-4698-b0ed-f06b0ce30622,tran_6da331c4-b955-452d-9142-258e7d0b8a13,tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed,tran_c037efc6-633a-4a68-a7fc-e3b448f83244,tran_868e53bd-99ed-4f51-b49a-7447b16a4263,11392,tran_d32dcb47-878f-4079-a5d0-64ef4a450582,,tran_b3b2b905-2801-4b76-8c29-fc6f15dc9f6c
513243472,186,80,46,54,6,3512.04,1719.75,1430.29,37.98,6700.06,17.64,tran_1b1bd41a-ee60-4bfe-9e87-f98f855f45ae,tran_a04f8ee8-9481-4862-a2a1-c8bd70c8d937,tran_bf63a880-7595-43cb-914c-d92890e074b4,17906,16383,tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed,tran_d32dcb47-878f-4079-a5d0-64ef4a450582,17808,,tran_8c8e3752-964f-440e-89d2-fa6f9f666bb7
513243473,242,94,45,68,35,2918.44,1552.12,2178.86,243.11,6892.53,28.82,tran_1d31c9ab-ced1-4984-83c8-db6d85831c78,tran_2f0653a2-46dd-407c-bd22-6225abd81841,tran_090e8607-b8f1-4e30-a585-67989b3549c0,tran_ad104dcd-afbd-43f2-9a3d-de2b7c32f386,tran_868e53bd-99ed-4f51-b49a-7447b16a4263,tran_2e481174-f713-4cc7-b8fe-24428977eaf9,tran_d879ac76-a0b2-4957-a0bb-3b782268d777,tran_b2e292d7-8b20-4160-a668-e555d6a0cbe9,tran_b3b2b905-2801-4b76-8c29-fc6f15dc9f6c,tran_db10298f-7115-44bb-bde3-a607cfcd22ff
513243474,241,99,54,75,13,3459.89,2207.06,2029.6,184.58,7881.13,22.94,tran_940f985f-4103-4538-a845-558c72f6cda9,tran_db223364-d89f-4b6b-882f-c001a421cf76,tran_ac644def-da41-4d62-a5e5-29d180855bdf,tran_94cf875b-0fc1-4c19-88ad-b9fe4189d0e0,tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed,15457,tran_b2e292d7-8b20-4160-a668-e555d6a0cbe9,tran_37a0a7db-474e-424a-a6fd-267bddc0e9f6,tran_8c8e3752-964f-440e-89d2-fa6f9f666bb7,15405
513243481,240,31,49,105,55,1653.36,2500.77,3333.22,759.14,8246.49,41.54,18556,18548,17836,18500,17729,17992,17808,17774,18540,17913
513243482,174,32,30,84,28,2448.05,1624.63,2119.84,327.45,6519.97,31.03,17800,17796,18500,,15237,17937,17774,17748,18588,17898
513243483,391,18,50,196,127,1031.16,2352.95,6613.43,2024.38,12021.92,60.85,18052,18264,tran_94cf875b-0fc1-4c19-88ad-b9fe4189d0e0,7991,17992,7971,tran_37a0a7db-474e-424a-a6fd-267bddc0e9f6,18066,17913,18198
513243484,241,14,22,165,40,1225.02,986.14,5158.83,734.42,8104.41,59.99,18023,18035,18206,18145,17937,7991,18066,17971,17898,18200
513243491,3,0,0,2,1,0,0,42.15,3.12,45.27,81.38,,18609,,,,,17748,,,
513243493,4,3,0,0,1,303.28,0,0,18.46,321.74,5.74,18072,17971,18145,,,,17971,,,
513243532,5,1,1,3,0,96.65,22.74,86.62,0,206.01,33.64,6963,6987,,6986,,,,7134,,
513243534,7,2,3,2,0,838.07,238.95,166.42,0,1243.44,10.71,6756,6775,,6860,,9795,,6883,,
513243541,224,20,36,165,3,1976.9,1768.61,4582.3,49.9,8377.71,44.35,7015,7020,6986,6905,14728,6750,6987,6702,6566,6723
513243542,115,13,23,77,2,1616.57,1495.36,3163.78,27.44,6303.15,40.59,7049,6634,6905,2098,7154,7108,6715,6684,14729,6730
513243543,141,7,25,107,2,728.1,1983.18,4136.47,37.33,6885.08,48.61,6823,6780,6860,6773,6750,6901,6883,6857,6723,6906
513243544,183,12,21,137,13,1306.08,1483.12,4485.17,237.71,7512.08,50.93,6953,6952,6773,2371,7108,9989,6857,6803,6726,6899
513243551,158,10,28,114,6,920.27,1703.78,3912.61,121.83,6658.49,48.84,2110,2127,2098,,2057,2510,6684,2413,2072,2186
513243552,173,15,27,75,56,1187.88,1158.77,2987.53,1245.49,6579.67,55.25,2440,2122,,2173,2073,2636,2413,8697,2077,2180
513243553,187,17,97,70,3,1247.77,4384.14,2501.61,86.98,8220.5,25.4,2260,2520,2371,2484,2510,17,6803,2478,2186,3
513243554,146,12,68,62,4,860.25,3078.86,2290.63,114.78,6344.52,30.69,2494,2488,2484,8793,2636,21,2478,2299,8785,2369
513243561,149,20,29,79,21,1519.41,1770.02,2316.92,412.85,6019.2,37.65,8964,9162,2173,8736,8710,8782,8697,8738,11671,8779
513243562,129,30,62,37,0,2035.65,3237.73,1045.36,0,6318.74,13.24,8985,8987,8736,,15550,8784,8738,,8712,8800
513243563,160,24,76,57,3,1716.96,3065.89,1995.7,50.14,6828.69,24.11,9024,9026,8793,8884,8782,8878,2299,,8785,4811
513243564,126,24,69,22,11,1643.91,3239.94,601.12,117.07,5602.04,10.67,8865,8814,8884,8815,8784,4804,,15559,8800,8895
513243571,210,13,33,92,72,1483.45,1670.97,3539.03,991.77,7685.22,49.74,15709,15710,15550,15499,tran_ad104dcd-afbd-43f2-9a3d-de2b7c32f386,15551,,15439,tran_db10298f-7115-44bb-bde3-a607cfcd22ff,15523
513243572,155,21,36,83,15,1629.32,1846.56,3418.32,229.57,7123.77,41.61,15787,15459,15499,8515,15457,15552,15439,8120,15405,15522
513243573,134,37,53,33,11,3021.54,2897.36,879.14,166.52,6964.56,12.49,15560,15813,8815,15582,15551,15601,15559,,15523,15613
513243574,90,36,34,18,2,3043.33,1752.94,414.76,27.68,5238.71,6.86,15850,15553,15582,15605,15552,tran_2b0554d8-cac9-4789-89d1-5849aca3f908,,,15522,
513243581,194,17,44,105,28,964.44,2750.28,4122.56,433.43,8270.71,45.12,8008,8029,8515,8393,7971,8212,8120,8065,18198,8553
513243582,310,20,39,175,76,1304.21,2213.01,5394.31,986.26,9897.79,53.56,8031,8030,8393,8005,7991,8603,8065,8674,18200,8148
513243583,126,22,27,72,5,2054.94,1280.06,2035.22,46.81,5417.03,30.92,8218,8315,15605,8243,8212,3415,,,8140,8256
513243584,164,12,13,131,8,1140.44,951.65,4619.11,117.71,6828.91,55.84,8181,8187,8243,8202,8603,8252,,8189,8130,8260
513243591,5,1,0,4,0,66.24,0,204.17,0,270.41,60.4,8005,8490,8005,,,,8674,,,
513243593,5,0,1,4,0,0,125.7,278.56,0,404.26,55.12,8202,8178,8202,,,,8189,,,8248
513243632,1,1,0,0,0,723.85,0,0,0,723.85,0,9795,,,9795,,,,,,
513243634,5,2,0,3,0,2209.51,0,171.68,0,2381.19,5.77,10223,10181,,9896,,,,5317,,
513243641,194,20,26,122,26,3742.09,1349.78,4353.1,369.58,9814.55,39.25,10123,9657,9795,9748,6901,9896,,9924,6906,9768
513243642,235,14,31,167,23,2844.36,1587.56,4902.43,325.68,9660.03,43.97,9629,9661,9748,9735,9989,9896,9924,9739,6899,9770
513243643,117,13,53,43,8,4991.21,2890.52,1441.47,74.56,9397.76,13.06,9818,10029,10223,9794,9896,5465,10181,,9768,
513243644,169,27,88,52,2,3655.14,4442.45,1941.93,22.49,10062.01,15.66,9820,10056,9794,9796,9896,5332,,277,9770,5328
513243651,179,22,99,45,13,3415.28,4379.13,1497.64,119.62,9411.67,14,81,353,163,104,17,9896,9739,68,3,159
513243652,140,20,72,44,4,1279.81,3630.13,1748.23,211.76,6869.93,23.44,80,85,186,79,21,177,68,,2369,173
513243653,192,21,109,58,4,3098.18,4783.77,2120.49,23.62,10026.06,17.16,406,239,9796,191,9896,2665,277,3338,159,2640
513243654,150,21,88,40,1,1545.8,3925.37,1505.11,17.63,6993.91,17.47,446,562,186,5010,177,2654,417,,173,2647
513243661,134,19,89,24,2,1191.59,4529.98,877.12,42.14,6640.83,11.2,4849,4859,79,4864,8878,5152,,,4811,
513243662,139,39,71,25,4,2918.83,3793.1,731.4,40.33,7483.66,8.36,5115,4869,4864,4882,4813,4920,,,8895,5200
513243663,132,29,78,25,0,2122.6,3685.43,895.46,0,6703.49,10.69,5007,4956,5010,4926,5152,5075,,,,13734
513243664,166,36,92,38,0,1949.62,4451.37,1405.13,0,7806.12,14.4,5193,4986,4964,5210,4920,13722,,,5200,13730
513243671,157,88,56,12,1,5697.73,1717.24,273.39,4.17,7692.53,2.9,tran_d1985c3b-2e3d-46f9-ae5c-3037828b5ce2,tran_19ea7f54-c5e1-4483-a53a-278c16d62bf8,4882,tran_2f214eaf-820c-452f-b33b-b81cfbe0958a,15601,tran_e1d10cab-2ca2-4d6c-89df-46782bd6d436,,,15613,
513243672,142,85,26,21,10,4581.91,627.44,244.25,48.36,5501.96,4.43,tran_b249ef4d-7a53-4c04-9441-415dd3d23d39,tran_6cf6c6f8-433d-4ed9-a6f1-a657cb3ec644,tran_2f214eaf-820c-452f-b33b-b81cfbe0958a,3700,tran_2b0554d8-cac9-4789-89d1-5849aca3f908,tran_7b7af5eb-7ee0-4790-92b8-622231325341,,,,
513243673,255,107,116,32,0,5020.41,2904.04,673.04,0,8597.49,6.26,tran_210f17ab-bc82-4e68-98da-70ea2d590b45,tran_6ba038e1-3d9f-497b-ac0a-24078c9b263b,5210,tran_d687b5ee-d108-4216-9a5e-8a6bbd43f2a9,tran_e1d10cab-2ca2-4d6c-89df-46782bd6d436,tran_c8a35baa-289a-4bc0-823d-d6f7b22387eb,,,,
513243674,143,79,44,17,3,3776.61,1100.52,343.97,16.6,5237.7,5.57,tran_e7419217-7656-4705-912d-6ffea07088aa,tran_2b51662f-c5ed-4a62-85d2-0a5443e73b56,tran_d687b5ee-d108-4216-9a5e-8a6bbd43f2a9,tran_07b2d90a-15db-4acd-aa9c-e4b30ee03f63,tran_7b7af5eb-7ee0-4790-92b8-622231325341,16769,,tran_566201c4-09b9-4b7a-9576-efd86a80b30a,,16995
513243681,274,26,56,191,1,1692.24,2389.5,5554.53,6.21,9642.48,46.15,3430,3427,3700,3367,3415,3841,,4123,8256,3742
513243682,258,27,46,176,9,1785.43,1919.78,5429.55,103.01,9237.77,48.14,3669,3449,3367,3370,8252,3935,4123,3674,8260,3974
513243683,207,20,42,138,7,1842.51,1798.58,4497.77,102.32,8241.18,44.9,4031,3797,tran_07b2d90a-15db-4acd-aa9c-e4b30ee03f63,3972,3841,4038,tran_566201c4-09b9-4b7a-9576-efd86a80b30a,3818,3742,3680
513243684,142,25,34,68,15,1960.32,1810.19,2371.62,258.98,6401.11,33.69,3998,4061,4149,3887,3935,,3818,4010,3974,3879
513243691,3,0,1,2,0,0,89.21,79.59,0,168.8,37.72,3370,3674,3370,,,,3674,,8248,
513243693,5,1,2,1,1,131.14,316.7,68.56,20.05,536.45,13.96,3744,3822,3887,,,3741,4010,,,
513243732,3,1,0,2,0,1922.49,0,166.4,0,2088.89,6.37,9896,5431,,,9896,,,5431,,
513243734,7,1,1,3,2,92.61,91.68,181.26,65.82,431.37,48.87,5561,5973,,5691,,,,5545,,
513243741,108,10,48,46,4,1518.38,2681.81,1631.91,51.53,5883.63,23.06,6094,6095,,5465,6084,6087,5431,5373,5317,5493
513243742,249,24,93,127,5,2596.75,3855.01,3554.92,49.57,10056.25,28.77,5371,5931,5465,2717,5332,5619,5373,5955,5328,5485
513243743,289,18,59,130,82,1229.7,2928.65,3576.61,1229.74,8964.7,45.63,5590,6005,5691,5553,6087,12609,5545,5870,5493,12460
513243744,226,8,58,159,1,1438.03,2677.93,4177.96,6.5,8300.42,40.35,5592,5581,5553,2973,5619,5727,5870,2963,5485,12845
513243751,214,18,110,81,5,934.83,4994.28,2571.13,60.46,8560.7,24.73,2720,2724,2717,2784,2665,2866,5955,3338,2640,2853
513243752,186,15,104,63,4,1030.11,4531.79,2573.99,55.32,8191.21,25.81,2710,2734,2784,2731,2654,2868,3338,13805,2647,2867
513243753,207,23,78,104,2,1423.49,3397.03,2911.62,27.99,7760.13,30.38,2938,3307,2973,2955,2866,3055,2963,2929,2853,3052
513243754,169,12,67,87,3,1032.65,2889.6,3962.76,60.23,7945.24,40.66,2927,2958,2955,13854,2868,3171,2929,13866,2867,3051
513243761,86,12,45,28,1,1210.63,2053.6,1112.05,11.94,4388.22,20.55,13788,13962,2731,13778,5075,13836,13805,13754,13734,
513243762,180,18,79,81,2,1573.27,3503.28,2535.84,22.21,7634.6,26.86,13756,13998,13778,16564,13722,13845,13754,16555,5074,13933
513243763,76,28,22,26,0,2457.07,1095.02,1103.6,0,4655.69,18.96,13855,13944,13854,13874,13836,13880,13866,,,4152
513243764,46,23,20,3,0,2635.69,1154.36,102.87,0,3892.92,2.11,13850,13926,13874,16604,13845,13884,,,13933,
513243771,185,25,116,43,1,1343.43,4891.31,1448.65,8.43,7691.82,15.18,16852,17010,16564,16945,tran_c8a35baa-289a-4bc0-823d-d6f7b22387eb,17036,16555,16942,,16875
513243772,171,40,82,48,1,2499.75,3366.03,1700.83,24.53,7591.14,18.25,16739,16959,16945,17001,16769,16864,16942,16804,16995,17019
513243773,96,25,64,6,1,1819.03,3224.18,294.66,3.89,5341.76,4.49,16914,16907,16604,16960,17036,12366,,,16875,
513243774,118,33,32,44,9,2832.29,1846.3,1224.26,102.12,6004.97,18.01,16732,16841,16960,16956,16864,16797,,,17019,16688
513243781,12,3,3,5,1,214.49,325.13,202.06,3.49,745.17,22.16,4038,3680,17001,,4038,,16804,4122,3680,
513243782,2,0,0,2,0,0,0,101.35,0,101.35,80,,3825,,,,,,,3879,
513243783,6,2,3,1,0,151.13,143.72,47.97,0,342.82,11.19,4670,4660,16956,,,4670,,,,4660
513243784,2,0,1,1,0,0,65.04,56.14,0,121.18,37.06,4557,4700,,,,4557,,,,4700
513243791,1,1,0,0,0,131.14,0,0,0,131.14,0,3741,,,,3741,,,,,
513243832,5,0,1,4,0,0,93.37,162.83,0,256.2,50.84,12409,12852,,12409,,,,12414,,
513243834,3,0,0,2,1,0,0,88.33,30.18,118.51,85.09,,12554,,,,,,12713,,
513243841,250,15,55,115,65,1193.72,3069.36,3634.55,791.31,8688.94,42.57,12468,12891,12409,12559,12609,12529,12414,12460,12419,12536
513243842,100,13,27,53,7,2019.6,1899.24,1741.32,65.7,5725.86,25.48,12639,12450,12559,12612,5727,12631,12458,12477,12845,12530
513243843,115,10,10,82,13,969.9,738.2,2963.75,125.19,4797.04,52.04,12586,12668,,12559,12529,,12713,,12536,
513243844,88,14,25,40,9,1707.58,1622.76,1252.49,112.73,4695.56,23.74,12581,12808,12559,12612,12631,12601,,12694,12530,12600
513243851,11,2,3,6,0,607.7,182.47,373.16,0,1163.33,25.66,3047,3052,12612,3055,3050,,12477,,3052,
513243852,7,1,2,4,0,133.54,33.53,297.03,0,464.1,51.2,3192,3051,3055,,3171,,,4181,3051,
513243853,6,1,2,3,0,474.16,145.79,115.34,0,735.29,12.55,12701,14054,12601,,12612,,12694,,,14054
513243854,7,4,1,2,0,177.87,39.43,94.67,0,311.97,24.28,4205,14457,,4318,,14452,,4317,,14457
513243861,63,19,16,28,0,2403.32,733.39,973.41,0,4110.12,18.95,4159,4306,,4188,13880,4187,4181,,4152,
513243862,29,17,8,3,1,2236.16,463.32,59.93,5.56,2764.97,1.94,4386,4173,4188,4164,13884,4185,,,,4402
513243863,98,17,33,48,0,1520.21,1805.36,1509.5,0,4835.07,24.98,4295,4219,4318,4272,4187,17050,4317,,,4286
513243864,107,26,42,27,12,2691.39,1883.41,903.5,161.73,5640.03,15.68,4366,4203,4272,4190,4185,4287,,4248,4402,12021
513243871,52,22,21,9,0,2410.08,1117.16,426.45,0,3953.69,8.63,12252,12400,4164,12377,12366,12271,,12221,,
513243872,167,30,55,65,17,3171.34,2620.11,1856.53,192.06,7840.04,21.39,12317,12246,12377,4709,16797,12398,12221,4560,16688,12389
513243873,238,13,95,117,13,1075.66,3997.21,3730.2,173.58,8976.65,35.18,12111,12112,4209,11923,12271,7174,4248,,,7194
513243874,168,13,26,87,42,1189.21,1086.87,2741.67,418.95,5436.7,48.05,11884,12176,11923,11849,12398,7195,,12082,12389,12029
513243881,148,16,70,53,9,1519.79,4050.78,1807.98,93.33,7471.88,20.61,4556,4778,4623,4659,4670,4549,4560,4649,4660,4570
513243882,107,8,19,61,19,624.48,1164.42,1737.21,252.86,3778.97,43.47,4655,4603,4659,4771,4557,4711,4649,4597,4700,4777
513243883,86,28,12,28,18,1788.85,675.01,974.35,173.76,3611.97,26.39,4425,4712,11849,4422,4549,11282,12082,4412,4570,10464
513243884,95,15,15,60,5,940.66,765.98,1534.03,65.94,3306.61,39.11,4435,4427,4422,,4711,4471,,,4777,4470
513243891,2,1,0,1,0,70.86,0,9.59,0,80.45,9.54,4771,4597,4771,,,,4597,,,
513243942,3,0,2,1,0,0,175.25,57.26,0,232.51,19.7,12602,12600,,,12601,,,,12600,
513243944,2,0,1,1,0,0,82.07,16.67,0,98.74,13.51,14252,14243,,14252,,,,14243,,
513243951,85,29,20,22,14,2677,1577.68,648.62,184.84,5088.14,13.83,14079,14391,,14239,,14376,,,14054,
513243952,136,14,40,76,6,1448.84,2029.46,2442.28,73.53,5994.11,33.82,14094,14458,14239,14116,14452,14154,,14432,14457,14356
513243953,104,18,32,46,8,1534.51,1760.56,1101.25,137.28,4533.6,22.46,14278,14334,14252,14175,14376,14235,14243,14180,,
513243954,130,17,43,62,8,1524.28,2536.04,1649.68,150.35,5860.35,25.09,14353,14162,14175,14242,14216,14231,14180,14144,14356,14315
513243961,214,23,88,98,5,1202.01,3677.02,3390.4,69.21,8338.64,33.36,17083,17097,14116,17094,17050,17188,14432,17629,4286,17198
513243962,131,26,51,48,6,1738.91,2325.56,1522.68,66.8,5653.95,22.73,17656,17660,17073,7907,4287,17208,17629,,17047,17206
513243963,250,11,101,128,10,671.74,3893.97,4148.79,112.91,8827.41,38.88,17250,17270,14242,17317,17188,17371,14144,17225,17198,17376
513243964,138,7,48,79,4,659.22,2377.52,2270.63,60.53,5367.9,34.97,17481,17479,17439,,17208,17380,17200,,17206,17375
513243971,266,32,53,136,45,2247.18,2070.49,4085.03,625.46,9028.16,43.13,7757,7756,7907,7202,7174,7796,,7294,12030,7406
513243972,273,21,50,166,36,1027.6,2475.84,5999.21,578.9,10081.55,53.35,7310,7267,7202,10570,7195,7409,7194,7243,12029,7436
513243973,135,17,30,52,36,1842.76,1434.71,1624.63,670.68,5572.78,35.36,7485,7608,,7519,7796,7516,,7420,7406,
513243974,184,26,30,103,25,1523.54,1407.13,3053.1,357.79,6341.56,44.16,7681,7466,7519,7689,7409,7513,7420,10702,7436,
513243981,369,10,52,187,120,678.79,2685.11,5456.42,1526.33,10346.65,56.94,11034,11170,10570,10659,11282,10658,7243,10509,10464,10657
513243982,153,10,36,86,21,649.39,1720.36,2638.47,216.45,5224.67,44.54,10556,11243,10501,,4471,10692,10509,,4470,10786
513243983,297,13,39,157,88,762.43,2182.26,4204.75,1267.52,8416.96,55.02,10719,10690,7689,10672,10658,10785,10702,10712,10657,10781
513243984,106,12,35,55,4,997.76,2027.24,1527.74,17.15,4569.89,27.12,10783,10920,10659,,10692,10918,10712,,10786,
513253051,3,1,2,0,0,82.54,245.51,0,0,328.05,0,14233,,,,14234,,,,,
513253052,3,0,1,2,0,0,97.97,47.75,0,145.72,26.21,14231,14315,,,14231,,,,14315,
513253061,7,1,3,3,0,108.45,235.03,131.14,0,474.62,22.1,17373,17376,,,17371,,,,17376,
513253062,3,0,2,1,0,0,371.97,46.39,0,418.36,8.87,17468,17375,,,17380,,,,17375,
513253071,4,4,0,0,0,287.38,0,0,0,287.38,0,7519,,,,7519,,,,,
513253072,2,1,1,0,0,248.46,130.8,0,0,379.26,0,7513,,,,7513,,,,,
513253081,4,1,2,1,0,98.35,203.33,80.62,0,382.3,16.87,10785,10781,,,10785,,,,10781,
513253082,2,0,2,0,0,0,133.42,0,0,133.42,0,10778,,,,10918,,,,,