KEY_CODE,total_floor_area,kansuu,motode-ta
513243342,85745.696,0.8,107182.12
513243343,209801.968,,262252.46
513243344,299600.736,,374500.92
513243351,17712.856,,22141.07
513243352,4809,,6011.25
513243353,74157.672,,92697.09
513243354,174072.968,,217591.21
513243361,10031.112,,12538.89
513243362,325873.424,,407341.78
513243363,64019.648,,80024.56
513243364,158381.216,,197976.52
513243371,300103.16,,375128.95
513243372,17420.064,,21775.08
513243373,292224.432,,365280.54
513243374,188255.416,,235319.27
513243382,4056.44,,5070.55
513243383,143578.664,,179473.33
513243384,131775.416,,164719.27
513243393,612.256,,765.32
513243441,172049.376,,215061.72
513243442,252862.064,,316077.58
513243443,173579.296,,216974.12
513243444,168146.184,,210182.73
513243451,143137.2,,178921.5
513243452,276070.416,,345088.02
513243453,224299.008,,280373.76
513243454,288900.056,,361125.07
513243461,127750.76,,159688.45
513243462,171282.712,,214103.39
513243463,171619.768,,214524.71
513243464,152561.952,,190702.44
513243471,464445.184,,580556.48
513243472,286749.208,,358436.51
513243473,254846.288,,318557.86
513243474,326849.088,,408561.36
513243481,300671.792,,375839.74
513243482,221015.544,,276269.43
513243483,339823.512,,424779.39
513243484,299820.704,,374775.88
513243541,245966.096,,307457.62
513243542,222339.504,,277924.38
513243543,217808.704,,272260.88
513243544,246794.128,,308492.66
513243551,194366.312,,242957.89
513243552,207088.104,,258860.13
513243553,308864.048,,386080.06
513243554,299711.712,,374639.64
513243561,241888.664,,302360.83
513243562,214153.112,,267691.39
513243563,312497.8,,390622.25
513243564,417691.152,,522113.94
513243571,157739.376,,197174.22
513243572,198774.56,,248468.2
513243573,201478.24,,251847.8
513243574,128186.928,,160233.66
513243581,236301.248,,295376.56
513243582,324574.336,,405717.92
513243583,229619.408,,287024.26
513243584,264829.504,,331036.88
513243641,234771.744,,293464.68
513243642,341410.936,,426763.67
513243643,72361.216,,90451.52
513243644,246835.472,,308544.34
513243651,316996.472,,396245.59
513243652,378799.76,,473499.7
513243653,282031.488,,352539.36
513243654,323107.784,,403884.73
513243661,257467.8,,321834.75
513243662,419412.208,,524265.26
513243663,147688.856,,184611.07
513243664,148919.392,,186149.24
513243671,497056.008,,621320.01
513243672,103666.464,,129583.08
513243673,156373.096,,195466.37
513243674,213017.824,,266272.28
513243681,351208.752,,439010.94
513243682,256229.432,,320286.79
513243683,260299.576,,325374.47
513243684,105984.44,,132480.55
513243741,154097.176,,192621.47
513243742,216501.392,,270626.74
513243743,213925.24,,267406.55
513243744,179261.272,,224076.59
513243751,340260.152,,425325.19
513243752,443873.36,,554841.7
513243753,274951.24,,343689.05
513243754,456088.472,,570110.59
513243761,68543.152,,85678.94
513243762,6725.28,,8406.6
513243763,80790.4,,100988
513243771,61314.88,,76643.6
513243772,144759.056,,180948.82
513243773,252721.008,,315901.26
513243774,123335.528,,154169.41
513243781,225535.456,,281919.32
513243782,62594.552,,78243.19
513243783,69639.848,,87049.81
513243784,199574.144,,249467.68
513243841,259457.752,,324322.19
513243842,71416.76,,89270.95
513243843,180869.952,,226087.44
513243844,80011.584,,100014.48
513243851,231315.888,,289144.86
513243852,201744.92,,252181.15
513243853,86326.536,,107908.17
513243854,232006.68,,290008.35
513243861,254892.84,,318616.05
513243862,140946.848,,176183.56
513243863,240049.12,,300061.4
513243864,232388.952,,290486.19
513243871,183524.304,,229405.38
513243872,149640.92,,187051.15
513243873,277162.232,,346452.79
513243874,142439.248,,178049.06
513243881,148968.096,,186210.12
513243882,163853.568,,204816.96
513243883,93624.288,,117030.36
513243884,97016.504,,121270.63
513243941,125354.272,,156692.84
513243942,34147.648,,42684.56
513243943,310630.16,,388287.7
513243944,1167.032,,1458.79
513243951,100762.256,,125952.82
513243952,133490.36,,166862.95
513243953,117070.696,,146338.37
513243954,149573.712,,186967.14
513243961,316396.464,,395495.58
513243962,287304.928,,359131.16
513243963,332576.032,,415720.04
513243964,149136.024,,186420.03
513243971,187542.784,,234428.48
513243972,311313.064,,389141.33
513243973,201885.704,,252357.13
513243974,242135.464,,302669.33
513243981,302182.104,,377727.63
513243982,162531.128,,203163.91
513243983,314997.504,,393746.88
513243984,116254.048,,145317.56
513253041,22092.136,,27615.17
513253042,1296.672,,1620.84
513253043,4106.992,,5133.74
513253051,70095.168,,87618.96
513253052,203210.36,,254012.95
513253054,39156.808,,48946.01
513253061,143536.712,,179420.89
513253062,205502.048,,256877.56
513253063,102825.88,,128532.35
513253064,246594.12,,308242.65
513253071,135290.568,,169113.21
513253072,28366.344,,35457.93
513253073,118115.992,,147644.99
513253074,135025.928,,168782.41
513253081,98644.432,,123305.54
513253082,118952.28,,148690.35